Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
XGBoost,BI_Rate,20,1,0.7049,0.1634,43.2105,58.8119,8.3093,0.9631,51.04,1.59
XGBoost,BI_Rate,20,5,1.1619,0.3352,70.368,100.4154,22.4369,0.9033,51.31,1.86
XGBoost,BI_Rate,20,20,2.2897,0.6311,138.8272,203.8688,41.3264,0.6026,47.92,2.03
XGBoost,BI_Rate,120,1,0.703,0.1724,43.0526,58.1153,9.049,0.9646,51.4,1.71
XGBoost,BI_Rate,120,5,1.1727,0.3566,70.6494,100.6803,24.2104,0.906,50.49,3.65
XGBoost,BI_Rate,120,20,2.3726,0.6737,143.0797,208.5539,45.5767,0.6047,49.13,1.92
XGBoost,CPI,20,1,0.701,0.1609,42.9966,58.2518,8.4,0.9637,51.91,1.13
XGBoost,CPI,20,5,1.1562,0.3192,70.2126,101.0156,21.0058,0.9013,51.36,1.74
XGBoost,CPI,20,20,2.3713,0.6336,143.8396,211.5677,46.281,0.574,48.65,1.6
XGBoost,CPI,120,1,0.7059,0.1578,43.3535,58.5198,8.0636,0.9627,50.64,2.01
XGBoost,CPI,120,5,1.1833,0.3327,71.6875,101.0608,22.2822,0.8989,50.03,2.75
XGBoost,CPI,120,20,2.3834,0.6518,143.6216,210.9321,42.5418,0.5332,49.29,1.75
XGBoost,M2,20,1,0.7068,0.1713,43.2687,58.8303,8.6647,0.9634,49.92,1.14
XGBoost,M2,20,5,1.1863,0.3621,71.7112,102.5239,23.4093,0.9025,50.8,2.93
XGBoost,M2,20,20,2.3823,0.5601,144.2361,213.7296,40.3237,0.5324,49.66,1.49
XGBoost,M2,120,1,0.6998,0.1617,42.878,57.6838,8.2592,0.9643,51.35,2.92
XGBoost,M2,120,5,1.1673,0.3495,70.5225,101.3328,23.8197,0.9007,49.97,3.11
XGBoost,M2,120,20,2.2776,0.6746,137.1204,200.5949,45.4405,0.6311,50.08,1.14
XGBoost,NPL_Ratio,20,1,0.7037,0.1574,43.1575,58.4729,8.3135,0.9629,51.3,1.29
XGBoost,NPL_Ratio,20,5,1.1591,0.3317,70.2511,99.9929,21.0621,0.901,50.95,2.24
XGBoost,NPL_Ratio,20,20,2.3643,0.6273,142.8817,212.0786,43.0833,0.5427,48.65,3.04
XGBoost,NPL_Ratio,120,1,0.7016,0.1641,42.9859,57.8628,8.7551,0.9638,51.25,2.27
XGBoost,NPL_Ratio,120,5,1.1777,0.3656,70.9994,101.4018,23.6946,0.9027,49.67,2.91
XGBoost,NPL_Ratio,120,20,2.3158,0.6496,139.1976,205.6428,45.1412,0.6105,49.5,1.59
XGBoost,USDIDR,20,1,0.7021,0.1626,43.024,58.2969,9.1609,0.9647,52.01,1.07
XGBoost,USDIDR,20,5,1.1653,0.354,70.4274,99.8049,23.5854,0.9112,51.77,1.8
XGBoost,USDIDR,20,20,2.3735,0.7008,143.1205,209.3273,53.2738,0.6093,48.34,2.26
XGBoost,USDIDR,120,1,0.6957,0.1634,42.6504,57.5214,8.6967,0.9644,51.5,1.97
XGBoost,USDIDR,120,5,1.177,0.3608,70.9293,101.1493,23.5111,0.8997,50.64,2.74
XGBoost,USDIDR,120,20,2.3405,0.6315,140.697,205.8293,49.0929,0.6089,48.92,3.12
XGBoost,GDP,20,1,0.7004,0.1647,42.887,58.4124,8.5494,0.9639,51.5,1.96
XGBoost,GDP,20,5,1.162,0.3478,70.3004,100.381,23.4475,0.9046,51.83,3.0
XGBoost,GDP,20,20,2.3387,0.5313,142.4034,210.8188,37.3885,0.5215,49.08,2.32
XGBoost,GDP,120,1,0.7072,0.1774,43.2491,57.9157,9.3988,0.9645,51.2,1.54
XGBoost,GDP,120,5,1.1809,0.3711,71.0651,101.5371,24.8853,0.9015,50.23,2.31
XGBoost,GDP,120,20,2.3729,0.7597,142.8809,201.9267,51.4149,0.6461,49.39,1.7
XGBoost,US_Treasury_10Y,20,1,0.7132,0.1541,43.8991,59.2163,8.0045,0.9613,51.25,0.85
XGBoost,US_Treasury_10Y,20,5,1.1851,0.2829,72.0126,103.8716,17.8973,0.8808,50.95,2.34
XGBoost,US_Treasury_10Y,20,20,2.5433,0.5531,154.7852,232.6105,43.2251,0.397,50.18,2.04
XGBoost,US_Treasury_10Y,120,1,0.7291,0.1398,44.9928,59.9887,7.0843,0.9602,48.55,1.96
XGBoost,US_Treasury_10Y,120,5,1.2235,0.3034,74.2362,107.2301,19.0385,0.8801,49.25,1.41
XGBoost,US_Treasury_10Y,120,20,2.6745,0.4598,163.6436,236.8678,29.2636,0.3487,48.76,0.65
XGBoost,Coal,20,1,0.7107,0.1512,43.7391,58.9026,7.6428,0.9628,51.91,1.65
XGBoost,Coal,20,5,1.1649,0.3293,70.6138,100.8516,22.402,0.9055,51.21,3.21
XGBoost,Coal,20,20,2.4786,0.6016,151.2234,217.4854,47.5859,0.5746,49.34,1.97
XGBoost,Coal,120,1,0.7201,0.1601,44.2189,58.8489,8.2683,0.9622,48.75,2.1
