Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
RandomForest,Coal,20,5,1.0492599999999999,0.2642632456472145,51.717999999999996,1.8351,5
RandomForest,Coal,20,20,2.0174,0.5651209693508106,49.498000000000005,3.51956,5
RandomForest,Coal,120,1,0.64162,0.15463582055914474,49.536,1.12104,5
RandomForest,Coal,120,5,1.0419,0.25877647690622885,51.25,1.82532,5
RandomForest,Coal,120,20,2.04154,0.5831996510629956,49.128,3.55924,5
RandomForest,Copper,20,1,0.6409,0.1542462479284342,52.32000000000001,1.11938,5
RandomForest,Copper,20,5,1.04778,0.2626319896737638,51.77,1.83258,5
RandomForest,Copper,20,20,2.01144,0.5524584717424468,49.815999999999995,3.5136000000000003,5
RandomForest,Copper,120,1,0.6418999999999999,0.15546662021154245,51.544000000000004,1.12118,5
RandomForest,Copper,120,5,1.04412,0.2623595376577722,50.989999999999995,1.82776,5
RandomForest,Copper,120,20,2.02494,0.5743131314883894,49.87,3.5335,5
RandomForest,GDP,20,1,0.63924,0.15337419274441186,53.35,1.1165800000000001,5
RandomForest,GDP,20,5,1.0497999999999998,0.26581110774382627,51.198,1.8360599999999998,5
RandomForest,GDP,20,20,2.01814,0.5660660986139342,49.658,3.52112,5
RandomForest,GDP,120,1,0.63964,0.15466867168240633,52.266,1.11726,5
