Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
LightGBM,120,20,BI_Rate,2.4184,2.3944,-1.002,False
LightGBM,120,20,CPI,2.3722,2.3944,0.927,True
LightGBM,120,20,M2,2.3393,2.3944,2.301,True
LightGBM,120,20,NPL_Ratio,2.3502,2.3944,1.846,True
LightGBM,120,20,USDIDR,2.3744,2.3944,0.835,True
LightGBM,120,20,GDP,2.3497,2.3944,1.867,True
LightGBM,120,20,US_Treasury_10Y,2.6433,2.3944,-10.395,False
LightGBM,120,20,Coal,2.4731,2.3944,-3.287,False
LightGBM,120,20,Copper,2.2549,2.3944,5.826,True
LightGBM,120,20,Nickel,2.4864,2.3944,-3.842,False
LightGBM,120,20,Silver,2.3118,2.3944,3.45,True
LightGBM,120,20,Tin,2.3825,2.3944,0.497,True
LightGBM,120,20,Gold,2.2416,2.3944,6.382,True
LightGBM,120,20,WTI,2.3002,2.3944,3.934,True
LightGBM,120,20,STI,2.3754,2.3944,0.794,True
