Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
ExtraTrees,20,5,US_Treasury_10Y,1.0892,1.0892,0.0,50.69,51.11,-0.42,0.0,False,False,False,False
ExtraTrees,20,5,Coal,1.0896,1.0892,-0.037,50.28,51.11,-0.83,-0.001,False,False,False,False
ExtraTrees,20,5,Copper,1.0858,1.0892,0.312,51.05,51.11,-0.06,0.01,True,False,True,False
ExtraTrees,20,5,Nickel,1.088,1.0892,0.11,50.85,51.11,-0.26,0.004,False,False,False,False
ExtraTrees,20,5,Silver,1.0848,1.0892,0.404,51.05,51.11,-0.06,0.013,True,False,True,False
ExtraTrees,20,5,Tin,1.0905,1.0892,-0.119,50.33,51.11,-0.78,-0.004,False,False,False,False
ExtraTrees,20,5,Gold,1.0873,1.0892,0.174,51.11,51.11,0.0,0.006,False,False,False,False
ExtraTrees,20,5,WTI,1.0896,1.0892,-0.037,50.39,51.11,-0.72,-0.001,False,False,False,False
ExtraTrees,20,5,STI,1.0847,1.0892,0.413,50.85,51.11,-0.26,0.013,True,False,True,False
ExtraTrees,20,20,BI_Rate,2.101,2.1004,-0.029,49.82,49.82,0.0,-0.001,False,False,False,False
ExtraTrees,20,20,CPI,2.1018,2.1004,-0.067,49.45,49.82,-0.37,-0.002,False,False,False,False
ExtraTrees,20,20,M2,2.111,2.1004,-0.505,49.82,49.82,0.0,-0.018,False,False,False,False
ExtraTrees,20,20,NPL_Ratio,2.1009,2.1004,-0.024,49.45,49.82,-0.37,-0.001,False,False,False,False
ExtraTrees,20,20,USDIDR,2.1025,2.1004,-0.1,49.82,49.82,0.0,-0.003,False,False,False,False
ExtraTrees,20,20,GDP,2.0997,2.1004,0.033,49.97,49.82,0.15,0.001,False,False,False,False
